#{"env_id": "Hopper-v2", "t_start": 1533045696.2523017}
r,l,t
113.165461,76,16.002285
104.865496,60,16.028376
136.993259,75,16.06099
92.366164,55,16.085254
75.615564,50,16.106815
52.695562,31,16.120265
223.990621,131,16.177018
183.319527,113,16.22583
109.126061,70,16.255544
62.109135,37,16.271666
185.727027,100,16.314841
154.911006,87,16.352546
125.351519,72,16.38355
196.681531,118,16.434321
54.055333,33,16.448534
111.784581,81,16.484038
94.772221,54,16.997542
188.578336,125,17.052179
67.97189,41,17.0701
162.595897,83,17.106095
223.946386,127,17.160801
178.305918,86,17.19855
75.444189,43,17.217431
199.712808,98,17.260578
184.489196,120,17.312766
124.180593,67,17.34224
148.814782,80,17.377192
84.485258,48,17.398303
239.785104,120,17.451193
104.307426,70,17.48207
205.425945,107,17.528439
61.869859,37,17.544837
218.457288,97,17.587071
105.161178,71,17.617733
209.710725,98,17.660491
221.34757,106,17.706747
263.550074,144,17.769579
248.937933,132,17.822643
206.78537,98,17.864658
117.349352,64,17.892625
165.078174,82,17.928552
249.352156,145,17.989929
11.554789,16,17.996863
217.150184,103,18.042012
151.724149,74,18.074745
178.781827,98,18.117666
224.409981,106,18.16346
137.001366,71,18.194349
225.839672,108,18.241113
221.561737,108,18.287702
49.548351,30,18.301081
189.402383,87,18.338825
221.425677,98,18.381925
80.51491,47,18.4026
195.992271,106,18.448844
76.358774,47,18.469043
154.436231,81,18.50456
232.418869,108,18.552005
207.369043,103,18.59684
12.942005,14,18.603081
245.532788,107,18.649465
213.651315,107,18.696319
223.791781,107,18.74351
185.874245,86,18.781351
180.222413,99,18.824329
241.662259,118,18.87618
96.526651,53,18.899476
58.772698,36,18.914832
215.477197,106,18.957914
92.610069,54,18.981357
215.829383,109,19.028972
50.791656,31,19.042783
172.715152,92,19.082742
120.884722,77,19.116868
134.677657,72,19.597374
99.75224,63,19.624501
205.938429,96,19.664957
109.494763,69,19.693098
235.398146,113,19.741823
157.772537,81,19.777047
180.277398,91,19.815056
246.379521,126,19.86745
210.822827,101,19.911619
229.299976,119,19.963342
220.128991,96,20.004911
213.251256,103,20.04874
152.533649,75,20.08124
207.4336,102,20.125813
221.677645,105,20.17155
253.727898,140,20.232422
158.10269,81,20.267712
111.474053,62,20.294949
222.599574,109,20.342372
79.82431,52,20.365453
241.68252,114,20.415061
232.664605,118,20.466672
201.37331,108,20.51366
220.765094,107,20.560174
242.13848,145,20.622379
238.724437,152,20.688489
221.954839,105,20.734316
235.128149,127,20.789732
190.857389,102,20.834032
224.626778,97,20.876466
235.855904,106,20.922472
116.035767,65,20.950979
212.437695,101,20.994797
75.982449,50,21.016575
120.080546,65,21.044854
236.970119,115,21.094611
249.254818,149,21.1583
244.454479,124,21.212106
203.583844,116,21.262339
213.282001,112,21.310263
247.086622,136,21.369256
215.98678,107,21.415643
59.339466,38,21.432411
180.945331,101,21.476138
170.707005,96,21.518255
191.708893,104,21.562989
177.600436,87,21.601411
209.688446,104,21.646913
218.520696,115,21.697314
208.281604,105,21.743124
207.651954,112,22.253689
223.287801,111,22.301609
191.293246,86,22.338879
229.084521,113,22.387556
129.780738,68,22.416954
224.617573,113,22.466583
200.686925,105,22.51279
211.18317,99,22.555917
190.854373,120,22.608326
78.631791,54,22.631723
224.512952,111,22.680371
238.242124,136,22.739048
232.78603,113,22.787395
182.400604,104,22.832927
139.608447,69,22.863789
223.283865,102,22.908168
226.012688,114,22.958187
241.308583,117,23.008952
218.817282,110,23.056625
197.803519,96,23.097955
164.197325,88,23.135631
207.656595,91,23.174913
238.126675,116,23.224552
222.316399,120,23.275754
277.017105,157,23.343504
238.549272,115,23.392781
235.493237,104,23.437485
252.330232,120,23.488589
236.935971,118,23.53967
238.551659,117,23.590351
158.837292,74,23.620599
205.768636,102,23.664984
223.120401,120,23.71123
227.087865,108,23.757846
171.289104,95,23.799029
128.05653,67,23.82819
184.861263,90,23.866611
65.176521,38,23.883258
235.278597,103,23.924349
194.90311,109,23.96728
242.104701,113,24.016214
271.216839,165,24.088516
236.798061,125,24.143546
212.323687,103,24.188077
199.014839,96,24.230135
215.993273,112,24.278011
174.608218,86,24.315302
268.330839,126,24.369985
160.604353,91,24.91023
215.924652,95,24.951416
232.374168,104,24.996844
239.252941,112,25.04601
107.747845,59,25.072156
242.38866,110,25.120171
226.196372,118,25.172045
220.005287,100,25.215808
251.819027,125,25.270981
231.412383,110,25.319095
227.722683,103,25.364405
254.407533,120,25.416689
187.016363,95,25.457962
241.552437,115,25.508245
229.338045,109,25.55591
248.216657,123,25.608066
221.46176,103,25.651634
124.995911,67,25.680731
265.20354,119,25.733493
207.422786,108,25.780744
244.243378,117,25.832187
237.799332,120,25.885188
242.037506,117,25.93657
230.385158,111,25.985127
204.050612,106,26.031608
219.819901,110,26.079599
230.049264,101,26.123859
255.862948,120,26.175852
156.759861,86,26.213559
249.429676,125,26.268234
239.154116,119,26.319658
232.352405,113,26.368882
215.877688,109,26.416849
195.108291,100,26.460219
219.816145,108,26.507093
249.132741,113,26.556298
199.669498,108,26.60331
215.383322,103,26.647991
237.788216,124,26.702265
210.962743,104,26.748633
205.572868,94,26.789454
247.245166,121,26.841954
246.378001,126,26.896991
262.871072,132,26.954685
241.007437,121,27.00758
236.939102,108,27.05476
239.237328,115,27.55641
274.175878,120,27.608915
255.297239,128,27.66471
290.535619,129,27.721463
224.086066,106,27.767476
227.197792,111,27.815899
186.955905,92,27.855923
258.000088,119,27.906907
207.862215,94,27.946033
217.520436,113,27.995564
232.904311,117,28.047081
234.706888,114,28.096995
227.096377,111,28.145022
264.611468,129,28.200946
219.212892,100,28.244335
229.901382,109,28.29334
256.214642,135,28.352303
206.370725,98,28.394703
239.59257,112,28.443443
219.388036,104,28.48896
240.566926,106,28.535361
231.524544,112,28.584909
235.423893,105,28.630749
224.697999,104,28.676049
213.484443,107,28.722866
214.846725,101,28.767211
220.730272,98,28.809752
228.626193,118,28.860288
216.334791,99,28.903281
221.320119,103,28.948042
223.30814,110,28.996266
233.175724,108,29.043489
232.700498,108,29.090245
231.609236,129,29.146204
198.919926,101,29.190201
229.375137,115,29.241374
219.347592,107,29.287962
244.385803,119,29.339867
222.693167,113,29.389323
250.418554,115,29.439059
235.227885,111,29.488155
230.053824,114,29.537969
225.657458,108,29.585244
122.364236,66,29.613824
214.170407,102,29.657845
225.443028,102,30.195321
261.184463,131,30.250911
235.091273,116,30.299241
223.849927,110,30.34464
215.632477,102,30.386761
